Client,Year,Industry,Company_Size,Client_Tenure,Growth_Rate,Sales
Client_1,2015,Manufacturing,638.9596317257502,New,4.065363746293049,14133.383706913872
Client_1,2016,Manufacturing,544.9451121825083,New,3.9076221942516147,12081.008111442576
Client_1,2017,Manufacturing,656.5114096948519,New,1.0206110773512882,14168.39951577921
Client_1,2018,Manufacturing,618.6559457364709,New,0.8181766110955091,13437.695205896292
Client_1,2019,Manufacturing,580.6763524717722,New,3.1982376955173573,12983.897014130498
Client_2,2015,Retail,292.0614879037459,Long-Term,3.522393063461961,7290.826699424788
Client_2,2016,Retail,378.30564133905204,Long-Term,3.4094036959658545,8852.852315839797
Client_2,2017,Retail,314.77732748117046,Long-Term,4.804717831188759,7870.669324789057
Client_2,2018,Retail,281.10303480887586,Long-Term,3.9242623710680187,6988.223075171257
Client_2,2019,Retail,332.3441673996466,Long-Term,4.088330300788793,8023.683831716667
Client_3,2015,Finance,376.9267140912908,Medium,-1.048721179483298,8311.534316149613
Client_3,2016,Finance,403.33286392543124,Medium,3.4389161286715293,9233.5660360125
Client_3,2017,Finance,391.1857169037121,Medium,4.4585795350939,9226.998487416216
Client_3,2018,Finance,460.0446385974764,Medium,1.9727854787493668,10525.202706755279
Client_3,2019,Finance,434.91994706658613,Medium,2.5646888886019683,10194.658744360799
Client_4,2015,Retail,341.41855823867905,Medium,7.32432988241733,8498.709749371532
Client_4,2016,Retail,304.64067099263025,Medium,6.538020927026263,7850.490177422425
Client_4,2017,Retail,409.4312863215306,Medium,6.145100865974985,9758.94169339468
Client_4,2018,Retail,389.27660622491226,Medium,5.704608789693077,9186.183543712925
Client_4,2019,Retail,482.8005045636021,Medium,5.709269554238202,11292.295385030697
Client_5,2015,Retail,363.1743020115105,Medium,1.7375892805377773,8460.999024011733
Client_5,2016,Retail,432.08855580070383,Medium,3.0072787728619144,10124.57360114457
Client_5,2017,Retail,373.0408150074319,Medium,1.887373627418534,8496.358461740403
Client_5,2018,Retail,354.2961735815407,Medium,2.1654273642316064,8582.342125935691
Client_5,2019,Retail,274.50213588916955,Medium,0.9449493287434678,6743.982030024742
Client_6,2015,Healthcare,336.07512311793226,Medium,4.429257146527046,8161.284816576014
Client_6,2016,Healthcare,257.82900383203577,Medium,6.180896614099894,6743.4549557917035
